BillNo,Itemname,Quantity,Present_Date,Price,CustomerID,Country,Revenue,Transaction_Size,Product_Frequency,Year,Month,Day,Hour,Day_of_Week
536373,WOOD S/3 CABINET ANT WHITE FINISH,4,2010-12-01 09:02:00,6.95,17850,United Kingdom,27.8,16,122,2010,12,1,9,Wednesday
536373,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-01 09:02:00,2.1,17850,United Kingdom,12.6,16,1026,2010,12,1,9,Wednesday
536373,WOODEN FRAME ANTIQUE WHITE,6,2010-12-01 09:02:00,2.55,17850,United Kingdom,15.3,16,896,2010,12,1,9,Wednesday
536373,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 09:02:00,3.39,17850,United Kingdom,20.34,16,422,2010,12,1,9,Wednesday
536373,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 09:02:00,3.39,17850,United Kingdom,20.34,16,354,2010,12,1,9,Wednesday
536373,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 09:02:00,7.65,17850,United Kingdom,15.3,16,280,2010,12,1,9,Wednesday
536373,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 09:02:00,4.25,17850,United Kingdom,25.5,16,115,2010,12,1,9,Wednesday
536375,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 09:32:00,2.55,17850,United Kingdom,15.3,16,1886,2010,12,1,9,Wednesday
536375,WHITE METAL LANTERN,6,2010-12-01 09:32:00,3.39,17850,United Kingdom,20.34,16,287,2010,12,1,9,Wednesday
536375,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 09:32:00,2.75,17850,United Kingdom,22.0,16,265,2010,12,1,9,Wednesday
536375,EDWARDIAN PARASOL RED,6,2010-12-01 09:32:00,4.95,17850,United Kingdom,29.700000000000003,16,246,2010,12,1,9,Wednesday
536375,RETRO COFFEE MUGS ASSORTED,6,2010-12-01 09:32:00,1.06,17850,United Kingdom,6.36,16,98,2010,12,1,9,Wednesday
536375,SAVE THE PLANET MUG,6,2010-12-01 09:32:00,1.06,17850,United Kingdom,6.36,16,331,2010,12,1,9,Wednesday
536375,VINTAGE BILLBOARD DRINK ME MUG,6,2010-12-01 09:32:00,1.06,17850,United Kingdom,6.36,16,171,2010,12,1,9,Wednesday
536375,VINTAGE BILLBOARD LOVE/HATE MUG,6,2010-12-01 09:32:00,1.06,17850,United Kingdom,6.36,16,189,2010,12,1,9,Wednesday
536375,WOOD 2 DRAWER CABINET WHITE FINISH,2,2010-12-01 09:32:00,4.95,17850,United Kingdom,9.9,16,510,2010,12,1,9,Wednesday
536375,WOOD S/3 CABINET ANT WHITE FINISH,4,2010-12-01 09:32:00,6.95,17850,United Kingdom,27.8,16,122,2010,12,1,9,Wednesday
536375,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-01 09:32:00,2.1,17850,United Kingdom,12.6,16,1026,2010,12,1,9,Wednesday
536375,WOODEN FRAME ANTIQUE WHITE,6,2010-12-01 09:32:00,2.55,17850,United Kingdom,15.3,16,896,2010,12,1,9,Wednesday
536375,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 09:32:00,3.39,17850,United Kingdom,20.34,16,422,2010,12,1,9,Wednesday
536375,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 09:32:00,3.39,17850,United Kingdom,20.34,16,354,2010,12,1,9,Wednesday
536375,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 09:32:00,7.65,17850,United Kingdom,15.3,16,280,2010,12,1,9,Wednesday
536375,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 09:32:00,4.25,17850,United Kingdom,25.5,16,115,2010,12,1,9,Wednesday
536377,HAND WARMER RED POLKA DOT,6,2010-12-01 09:34:00,1.85,17850,United Kingdom,11.1,2,18,2010,12,1,9,Wednesday
536377,HAND WARMER UNION JACK,6,2010-12-01 09:34:00,1.85,17850,United Kingdom,11.1,2,451,2010,12,1,9,Wednesday
536378,JUMBO BAG PINK POLKADOT,10,2010-12-01 09:37:00,1.95,14688,United Kingdom,19.5,13,1111,2010,12,1,9,Wednesday
536378,JUMBO  BAG BAROQUE BLACK WHITE,10,2010-12-01 09:37:00,1.95,14688,United Kingdom,19.5,13,854,2010,12,1,9,Wednesday
536378,JUMBO BAG CHARLIE AND LOLA TOYS,10,2010-12-01 09:37:00,2.95,14688,United Kingdom,29.5,13,289,2010,12,1,9,Wednesday
536378,STRAWBERRY CHARLOTTE BAG,10,2010-12-01 09:37:00,0.85,14688,United Kingdom,8.5,13,619,2010,12,1,9,Wednesday
536378,RED 3 PIECE RETROSPOT CUTLERY SET,12,2010-12-01 09:37:00,3.75,14688,United Kingdom,45.0,13,102,2010,12,1,9,Wednesday
536378,BLUE 3 PIECE POLKADOT CUTLERY SET,6,2010-12-01 09:37:00,3.75,14688,United Kingdom,22.5,13,97,2010,12,1,9,Wednesday
536378,SET/6 RED SPOTTY PAPER PLATES,12,2010-12-01 09:37:00,0.85,14688,United Kingdom,10.2,13,435,2010,12,1,9,Wednesday
536378,LUNCH BAG RED RETROSPOT,10,2010-12-01 09:37:00,1.65,14688,United Kingdom,16.5,13,1425,2010,12,1,9,Wednesday
536378,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2010-12-01 09:37:00,2.55,14688,United Kingdom,15.3,13,550,2010,12,1,9,Wednesday
536378,LUNCH BOX WITH CUTLERY RETROSPOT,6,2010-12-01 09:37:00,2.55,14688,United Kingdom,15.3,13,463,2010,12,1,9,Wednesday
536378,TOMATO CHARLIE+LOLA COASTER SET,6,2010-12-01 09:37:00,2.95,14688,United Kingdom,17.700000000000003,13,77,2010,12,1,9,Wednesday
536378,JUMBO STORAGE BAG SUKI,10,2010-12-01 09:37:00,1.95,14688,United Kingdom,19.5,13,1106,2010,12,1,9,Wednesday
536378,JUMBO BAG PINK VINTAGE PAISLEY,10,2010-12-01 09:37:00,1.95,14688,United Kingdom,19.5,13,802,2010,12,1,9,Wednesday
536381,RETROSPOT TEA SET CERAMIC 11 PC,23,2010-12-01 09:41:00,4.25,15311,United Kingdom,97.75,32,757,2010,12,1,9,Wednesday
536381,GIRLY PINK TOOL SET,5,2010-12-01 09:41:00,4.95,15311,United Kingdom,24.75,32,1,2010,12,1,9,Wednesday
536381,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2010-12-01 09:41:00,1.95,15311,United Kingdom,19.5,32,1099,2010,12,1,9,Wednesday
536381,"AIRLINE LOUNGE,METAL SIGN",2,2010-12-01 09:41:00,2.1,15311,United Kingdom,4.2,32,291,2010,12,1,9,Wednesday
536381,WHITE SPOT RED CERAMIC DRAWER KNOB,6,2010-12-01 09:41:00,1.25,15311,United Kingdom,7.5,32,363,2010,12,1,9,Wednesday
536381,PHOTO CLIP LINE,1,2010-12-01 09:41:00,1.25,15311,United Kingdom,1.25,32,46,2010,12,1,9,Wednesday
536381,FELT EGG COSY CHICKEN,1,2010-12-01 09:41:00,0.85,15311,United Kingdom,0.85,32,130,2010,12,1,9,Wednesday
536381,PIGGY BANK RETROSPOT,1,2010-12-01 09:41:00,2.55,15311,United Kingdom,2.55,32,303,2010,12,1,9,Wednesday
536381,SKULL SHOULDER BAG,10,2010-12-01 09:41:00,1.65,15311,United Kingdom,16.5,32,401,2010,12,1,9,Wednesday
536381,YOU'RE CONFUSING ME METAL SIGN,3,2010-12-01 09:41:00,1.69,15311,United Kingdom,5.07,32,409,2010,12,1,9,Wednesday
536381,COOK WITH WINE METAL SIGN,1,2010-12-01 09:41:00,1.95,15311,United Kingdom,1.95,32,624,2010,12,1,9,Wednesday
536381,GIN + TONIC DIET METAL SIGN,2,2010-12-01 09:41:00,2.1,15311,United Kingdom,4.2,32,678,2010,12,1,9,Wednesday
536381,YELLOW BREAKFAST CUP AND SAUCER,1,2010-12-01 09:41:00,2.95,15311,United Kingdom,2.95,32,18,2010,12,1,9,Wednesday
536381,PINK BREAKFAST CUP AND SAUCER,1,2010-12-01 09:41:00,2.95,15311,United Kingdom,2.95,32,9,2010,12,1,9,Wednesday
536381,PAPER CHAIN KIT 50'S CHRISTMAS,4,2010-12-01 09:41:00,2.95,15311,United Kingdom,11.8,32,977,2010,12,1,9,Wednesday
536381,PAPER CHAIN KIT RETROSPOT,1,2010-12-01 09:41:00,2.95,15311,United Kingdom,2.95,32,555,2010,12,1,9,Wednesday
536381,SMALL HEART FLOWERS HOOK,6,2010-12-01 09:41:00,0.85,15311,United Kingdom,5.1,32,120,2010,12,1,9,Wednesday
536381,PHOTO CLIP LINE,3,2010-12-01 09:41:00,1.25,15311,United Kingdom,3.75,32,46,2010,12,1,9,Wednesday
536381,TEA TIME DES TEA COSY,2,2010-12-01 09:41:00,2.55,15311,United Kingdom,5.1,32,107,2010,12,1,9,Wednesday
536381,FELT EGG COSY WHITE RABBIT,1,2010-12-01 09:41:00,0.85,15311,United Kingdom,0.85,32,105,2010,12,1,9,Wednesday
536381,ZINC WILLIE WINKIE  CANDLE STICK,1,2010-12-01 09:41:00,0.85,15311,United Kingdom,0.85,32,234,2010,12,1,9,Wednesday
536381,CERAMIC CHERRY CAKE MONEY BANK,1,2010-12-01 09:41:00,1.45,15311,United Kingdom,1.45,32,255,2010,12,1,9,Wednesday
536381,RETROSPOT LARGE MILK JUG,1,2010-12-01 09:41:00,4.95,15311,United Kingdom,4.95,32,301,2010,12,1,9,Wednesday
536381,SET OF 6 FUNKY BEAKERS,2,2010-12-01 09:41:00,2.95,15311,United Kingdom,5.9,32,160,2010,12,1,9,Wednesday
536381,EDWARDIAN PARASOL BLACK,2,2010-12-01 09:41:00,5.95,15311,United Kingdom,11.9,32,241,2010,12,1,9,Wednesday
536381,EDWARDIAN PARASOL NATURAL,2,2010-12-01 09:41:00,5.95,15311,United Kingdom,11.9,32,313,2010,12,1,9,Wednesday
536381,CERAMIC STRAWBERRY CAKE MONEY BANK,4,2010-12-01 09:41:00,1.45,15311,United Kingdom,5.8,32,358,2010,12,1,9,Wednesday
536381,BLUE OWL SOFT TOY,1,2010-12-01 09:41:00,2.95,15311,United Kingdom,2.95,32,112,2010,12,1,9,Wednesday
536381,BALLOON ART MAKE YOUR OWN FLOWERS,1,2010-12-01 09:41:00,1.95,15311,United Kingdom,1.95,32,90,2010,12,1,9,Wednesday
536381,RED TOADSTOOL LED NIGHT LIGHT,2,2010-12-01 09:41:00,1.65,15311,United Kingdom,3.3,32,720,2010,12,1,9,Wednesday
536381,GLASS CLOCHE SMALL,3,2010-12-01 09:41:00,3.95,15311,United Kingdom,11.85,32,130,2010,12,1,9,Wednesday
536381,DOORMAT FANCY FONT HOME SWEET HOME,10,2010-12-01 09:41:00,6.75,15311,United Kingdom,67.5,32,354,2010,12,1,9,Wednesday
536382,INFLATABLE POLITICAL GLOBE,12,2010-12-01 09:45:00,0.85,16098,United Kingdom,10.2,8,60,2010,12,1,9,Wednesday
536382,VINTAGE SNAKES & LADDERS,8,2010-12-01 09:45:00,3.75,16098,United Kingdom,30.0,8,366,2010,12,1,9,Wednesday
536382,CHOCOLATE CALCULATOR,12,2010-12-01 09:45:00,1.65,16098,United Kingdom,19.8,8,190,2010,12,1,9,Wednesday
536382,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2010-12-01 09:45:00,1.95,16098,United Kingdom,19.5,8,1099,2010,12,1,9,Wednesday
536382,RECYCLING BAG RETROSPOT,10,2010-12-01 09:45:00,2.1,16098,United Kingdom,21.0,8,710,2010,12,1,9,Wednesday
536382,ANTIQUE GLASS DRESSING TABLE POT,8,2010-12-01 09:45:00,2.95,16098,United Kingdom,23.6,8,253,2010,12,1,9,Wednesday
536382,ALARM CLOCK BAKELIKE GREEN,4,2010-12-01 09:45:00,3.75,16098,United Kingdom,15.0,8,938,2010,12,1,9,Wednesday
536382,IVORY GIANT GARDEN THERMOMETER,12,2010-12-01 09:45:00,5.95,16098,United Kingdom,71.4,8,180,2010,12,1,9,Wednesday
536384,WOOD BLACK BOARD ANT WHITE FINISH,3,2010-12-01 09:53:00,6.45,18074,United Kingdom,19.35,8,555,2010,12,1,9,Wednesday
536384,HANGING METAL HEART LANTERN,12,2010-12-01 09:53:00,1.65,18074,United Kingdom,19.8,8,325,2010,12,1,9,Wednesday
536384,HANGING MEDINA LANTERN SMALL,6,2010-12-01 09:53:00,2.95,18074,United Kingdom,17.700000000000003,8,28,2010,12,1,9,Wednesday
536384,NATURAL SLATE HEART CHALKBOARD,12,2010-12-01 09:53:00,2.95,18074,United Kingdom,35.400000000000006,8,1183,2010,12,1,9,Wednesday
536384,WHITE LOVEBIRD LANTERN,6,2010-12-01 09:53:00,2.95,18074,United Kingdom,17.700000000000003,8,161,2010,12,1,9,Wednesday
536384,CREAM HEART CARD HOLDER,4,2010-12-01 09:53:00,3.95,18074,United Kingdom,15.8,8,487,2010,12,1,9,Wednesday
536384,ENAMEL FLOWER JUG CREAM,3,2010-12-01 09:53:00,5.95,18074,United Kingdom,17.85,8,419,2010,12,1,9,Wednesday
536384,ENAMEL FIRE BUCKET CREAM,6,2010-12-01 09:53:00,6.95,18074,United Kingdom,41.7,8,93,2010,12,1,9,Wednesday
536385,JAM MAKING SET PRINTED,12,2010-12-01 09:56:00,1.45,17420,United Kingdom,17.4,6,980,2010,12,1,9,Wednesday
536385,JAM MAKING SET WITH JARS,6,2010-12-01 09:56:00,4.25,17420,United Kingdom,25.5,6,1035,2010,12,1,9,Wednesday
536385,JUMBO BAG DOLLY GIRL DESIGN,10,2010-12-01 09:56:00,1.95,17420,United Kingdom,19.5,6,436,2010,12,1,9,Wednesday
536385,TRADITIONAL CHRISTMAS RIBBONS,12,2010-12-01 09:56:00,1.25,17420,United Kingdom,15.0,6,331,2010,12,1,9,Wednesday
536385,ORGANISER WOOD ANTIQUE WHITE,2,2010-12-01 09:56:00,8.5,17420,United Kingdom,17.0,6,74,2010,12,1,9,Wednesday
536385,LUNCH BAG DOLLY GIRL DESIGN,10,2010-12-01 09:56:00,1.65,17420,United Kingdom,16.5,6,654,2010,12,1,9,Wednesday
536388,HOME BUILDING BLOCK WORD,3,2010-12-01 09:59:00,5.95,16250,United Kingdom,17.85,14,679,2010,12,1,9,Wednesday
536388,LOVE BUILDING BLOCK WORD,3,2010-12-01 09:59:00,5.95,16250,United Kingdom,17.85,14,550,2010,12,1,9,Wednesday
536388,DOORMAT FANCY FONT HOME SWEET HOME,2,2010-12-01 09:59:00,7.95,16250,United Kingdom,15.9,14,354,2010,12,1,9,Wednesday
536388,HOME SMALL WOOD LETTERS,3,2010-12-01 09:59:00,4.95,16250,United Kingdom,14.85,14,93,2010,12,1,9,Wednesday
536388,GINGHAM HEART  DOORSTOP RED,3,2010-12-01 09:59:00,4.25,16250,United Kingdom,12.75,14,231,2010,12,1,9,Wednesday
536388,FIVE HEART HANGING DECORATION,6,2010-12-01 09:59:00,2.95,16250,United Kingdom,17.700000000000003,14,138,2010,12,1,9,Wednesday
536388,HANGING METAL HEART LANTERN,12,2010-12-01 09:59:00,1.65,16250,United Kingdom,19.8,14,325,2010,12,1,9,Wednesday
536388,ASSORTED BOTTLE TOP  MAGNETS,12,2010-12-01 09:59:00,0.42,16250,United Kingdom,5.04,14,139,2010,12,1,9,Wednesday
536388,FRIDGE MAGNETS US DINER ASSORTED,12,2010-12-01 09:59:00,0.85,16250,United Kingdom,10.2,14,72,2010,12,1,9,Wednesday
536388,HOMEMADE JAM SCENTED CANDLES,12,2010-12-01 09:59:00,1.45,16250,United Kingdom,17.4,14,538,2010,12,1,9,Wednesday
536388,FRIDGE MAGNETS LES ENFANTS ASSORTED,12,2010-12-01 09:59:00,0.85,16250,United Kingdom,10.2,14,65,2010,12,1,9,Wednesday
536388,ROSE CARAVAN DOORSTOP,4,2010-12-01 09:59:00,6.75,16250,United Kingdom,27.0,14,122,2010,12,1,9,Wednesday
536388,HEART OF WICKER SMALL,12,2010-12-01 09:59:00,1.65,16250,United Kingdom,19.8,14,1050,2010,12,1,9,Wednesday
536388,5 HOOK HANGER MAGIC TOADSTOOL,12,2010-12-01 09:59:00,1.65,16250,United Kingdom,19.8,14,27,2010,12,1,9,Wednesday
536389,CHRISTMAS LIGHTS 10 REINDEER,6,2010-12-01 10:03:00,8.5,12431,Australia,51.0,12,236,2010,12,1,10,Wednesday
536389,VINTAGE UNION JACK CUSHION COVER,8,2010-12-01 10:03:00,4.95,12431,Australia,39.6,12,90,2010,12,1,10,Wednesday
536389,VINTAGE HEADS AND TAILS CARD GAME,12,2010-12-01 10:03:00,1.25,12431,Australia,15.0,12,536,2010,12,1,10,Wednesday
536389,SET OF 3 COLOURED  FLYING DUCKS,6,2010-12-01 10:03:00,5.45,12431,Australia,32.7,12,35,2010,12,1,10,Wednesday
536389,SET OF 3 GOLD FLYING DUCKS,4,2010-12-01 10:03:00,6.35,12431,Australia,25.4,12,20,2010,12,1,10,Wednesday
536389,RED RETROSPOT UMBRELLA,6,2010-12-01 10:03:00,5.95,12431,Australia,35.7,12,276,2010,12,1,10,Wednesday
536389,BLACK/BLUE POLKADOT UMBRELLA,3,2010-12-01 10:03:00,5.95,12431,Australia,17.85,12,237,2010,12,1,10,Wednesday
536389,RED DINER WALL CLOCK,2,2010-12-01 10:03:00,8.5,12431,Australia,17.0,12,391,2010,12,1,10,Wednesday
536389,ALARM CLOCK BAKELIKE GREEN,4,2010-12-01 10:03:00,3.75,12431,Australia,15.0,12,938,2010,12,1,10,Wednesday
536389,ALARM CLOCK BAKELIKE RED,4,2010-12-01 10:03:00,3.75,12431,Australia,15.0,12,1004,2010,12,1,10,Wednesday
536389,BLUE DINER WALL CLOCK,2,2010-12-01 10:03:00,8.5,12431,Australia,17.0,12,319,2010,12,1,10,Wednesday
536389,IVORY DINER WALL CLOCK,2,2010-12-01 10:03:00,8.5,12431,Australia,17.0,12,382,2010,12,1,10,Wednesday
536390,CHRISTMAS LIGHTS 10 REINDEER,2,2010-12-01 10:19:00,8.5,17511,United Kingdom,17.0,5,236,2010,12,1,10,Wednesday
536390,JAM MAKING SET WITH JARS,12,2010-12-01 10:19:00,3.75,17511,United Kingdom,45.0,5,1035,2010,12,1,10,Wednesday
536390,JAM MAKING SET PRINTED,12,2010-12-01 10:19:00,1.45,17511,United Kingdom,17.4,5,980,2010,12,1,10,Wednesday
536390,ROSE COTTAGE KEEPSAKE BOX,8,2010-12-01 10:19:00,8.5,17511,United Kingdom,68.0,5,15,2010,12,1,10,Wednesday
536390,RETROSPOT LARGE MILK JUG,12,2010-12-01 10:19:00,4.25,17511,United Kingdom,51.0,5,301,2010,12,1,10,Wednesday
536392,3 STRIPEY MICE FELTCRAFT,6,2010-12-01 10:29:00,1.95,13705,United Kingdom,11.7,8,443,2010,12,1,10,Wednesday
536392,SET OF 6 SOLDIER SKITTLES,4,2010-12-01 10:29:00,3.75,13705,United Kingdom,15.0,8,425,2010,12,1,10,Wednesday
536392,TRADITIONAL WOODEN SKIPPING ROPE,12,2010-12-01 10:29:00,1.25,13705,United Kingdom,15.0,8,389,2010,12,1,10,Wednesday
536392,WOODEN BOX OF DOMINOES,12,2010-12-01 10:29:00,1.25,13705,United Kingdom,15.0,8,548,2010,12,1,10,Wednesday
536392,PARTY CONES CARNIVAL ASSORTED,12,2010-12-01 10:29:00,1.25,13705,United Kingdom,15.0,8,15,2010,12,1,10,Wednesday
536392,PARTY CONES CANDY ASSORTED,12,2010-12-01 10:29:00,1.25,13705,United Kingdom,15.0,8,50,2010,12,1,10,Wednesday
536392,PICNIC BASKET WICKER SMALL,4,2010-12-01 10:29:00,5.95,13705,United Kingdom,23.8,8,353,2010,12,1,10,Wednesday
536392,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-01 10:29:00,1.69,13705,United Kingdom,27.04,8,1063,2010,12,1,10,Wednesday
536394,RETROSPOT HEART HOT WATER BOTTLE,12,2010-12-01 10:39:00,4.95,13408,United Kingdom,59.400000000000006,4,537,2010,12,1,10,Wednesday
536394,DOG BOWL CHASING BALL DESIGN,12,2010-12-01 10:39:00,3.75,13408,United Kingdom,45.0,4,127,2010,12,1,10,Wednesday
536394,HAND OVER THE CHOCOLATE   SIGN,12,2010-12-01 10:39:00,2.1,13408,United Kingdom,25.200000000000003,4,599,2010,12,1,10,Wednesday
536394,TRAVEL SEWING KIT,20,2010-12-01 10:39:00,1.65,13408,United Kingdom,33.0,4,435,2010,12,1,10,Wednesday
536395,BLACK HEART CARD HOLDER,8,2010-12-01 10:47:00,3.95,13767,United Kingdom,31.6,8,169,2010,12,1,10,Wednesday
536395,CHICK GREY HOT WATER BOTTLE,8,2010-12-01 10:47:00,3.45,13767,United Kingdom,27.6,8,366,2010,12,1,10,Wednesday
536395,SMALL GLASS HEART TRINKET POT,8,2010-12-01 10:47:00,2.1,13767,United Kingdom,16.8,8,503,2010,12,1,10,Wednesday
536395,ALARM CLOCK BAKELIKE IVORY,4,2010-12-01 10:47:00,3.75,13767,United Kingdom,15.0,8,556,2010,12,1,10,Wednesday
536395,ALARM CLOCK BAKELIKE RED,8,2010-12-01 10:47:00,3.75,13767,United Kingdom,30.0,8,1004,2010,12,1,10,Wednesday
536395,ALARM CLOCK BAKELIKE ORANGE,8,2010-12-01 10:47:00,3.75,13767,United Kingdom,30.0,8,435,2010,12,1,10,Wednesday
536395,ALARM CLOCK BAKELIKE GREEN,8,2010-12-01 10:47:00,3.75,13767,United Kingdom,30.0,8,938,2010,12,1,10,Wednesday
536395,HOT WATER BOTTLE TEA AND SYMPATHY,8,2010-12-01 10:47:00,3.95,13767,United Kingdom,31.6,8,535,2010,12,1,10,Wednesday
